,page,pageviews_x,pageviews_y,category,delta,pagecount,tmp
955190,Puroshottam_Choudhary,7,15.0,1890_deaths,-0.5333333333333333,292,1
996944,Richard_Tauber,17,184.0,1891_births,-0.907608695652174,938,1
962736,Rahmatullah_Kairanawi,17,29.0,1891_deaths,-0.4137931034482759,331,1
593408,Julius_Hirsch,6,156.0,1892_births,-0.9615384615384616,1078,1
56794,Charles_Henry_Langston,8,57.0,1892_deaths,-0.8596491228070176,295,1
61390,Charles_Williams_(composer),6,19.0,1893_births,-0.6842105263157895,1026,1
182173,Dietrich_von_Choltitz,74,469.0,1894_births,-0.8422174840085288,1010,1
325807,George_Hainsworth,7,81.0,1895_births,-0.9135802469135803,1095,1
31868,Camilla_Collett,6,13.0,1895_deaths,-0.5384615384615384,304,1
958092,R._C._Sherriff,18,64.0,1896_births,-0.71875,1023,1
816307,Mirza_Reza_Kermani,11,19.0,1896_deaths,-0.42105263157894735,284,1
757235,Mary___Princess_Royal_and_Countess_of_Harewood,2702,12585.0,1897_births,-0.7852999602701629,1052,1
553088,John_Mercer_Langston,44,156.0,1897_deaths,-0.717948717948718,331,1
1285115,Vincent_Youmans,9,764.0,1898_births,-0.9882198952879581,1103,1
968079,Ramtanu_Lahiri,6,12.0,1898_deaths,-0.5,329,1
160777,DeFord_Bailey,51,227.0,1899_births,-0.775330396475771,1087,1
956711,Queen_Kapiolani,8,19.0,1899_deaths,-0.5789473684210527,333,1
863876,Nikolai_Vashugin,9,47.0,1900_births,-0.8085106382978724,1189,1
825062,Moondyne_Joe,38,122.0,1900_deaths,-0.6885245901639344,346,1
870867,Norman_Evans,8,262.0,1901_births,-0.9694656488549618,1137,1
498282,Jefferson_F._Long,6,49.0,1901_deaths,-0.8775510204081632,361,1
951316,Prince_George___Duke_of_Kent,1605,13434.0,1902_births,-0.880527020991514,1195,1
469797,James_James,18,45.0,1902_deaths,-0.6,326,1
427311,Ian_Campbell___11th_Duke_of_Argyll,28,408.0,1903_births,-0.9313725490196079,1248,1
393236,Helen_Pitts_Douglass,155,239.0,1903_deaths,-0.35146443514644354,317,1
46103,Catherine_Lacey,10,74.0,1904_births,-0.8648648648648649,1206,1
395792,Henri_Fantin-Latour,19,44.0,1904_deaths,-0.5681818181818181,338,1
725077,Mansfield_Markham,13,169.0,1905_births,-0.9230769230769231,1298,1
951655,Prince_Nikolaus_Wilhelm_of_Nassau,7,20.0,1905_deaths,-0.65,342,1
239147,Emanuel_Weiss,35,161.0,1906_births,-0.782608695652174,1302,1
471780,James_McIntyre_(poet),7,8.0,1906_deaths,-0.125,316,1
1162324,T._R._Sundaram,20,85.0,1907_births,-0.7647058823529411,1314,1
254779,Ernst_von_Bergmann,7,16.0,1907_deaths,-0.5625,334,1
154506,David_Pratt_(assassin),6,181.0,1908_births,-0.9668508287292817,1415,1
288502,Frank_Calvert,6,21.0,1908_deaths,-0.7142857142857143,343,1
843375,Nat_Jackley,8,324.0,1909_births,-0.9753086419753086,1411,1
444471,Israel_Greene,10,29.0,1909_deaths,-0.6551724137931034,356,1
186058,Dixie_Walker,22,168.0,1910_births,-0.8690476190476191,1470,1
413864,Hormuzd_Rassam,7,21.0,1910_deaths,-0.6666666666666667,362,1
1126969,Stanley_Bate,6,94.0,1911_births,-0.9361702127659575,1449,1
735566,Maria_Pia_of_Savoy,18,41.0,1911_deaths,-0.5609756097560976,365,1
92043,Clete_Roberts,24,305.0,1912_births,-0.921311475409836,1499,1
1008282,Robert_Bruce_Foote,7,19.0,1912_deaths,-0.631578947368421,410,1
854463,Niall_MacGinnis,29,154.0,1913_births,-0.8116883116883117,1583,1
227004,Edwin_Klebs,6,14.0,1913_deaths,-0.5714285714285714,337,1
707351,Luisa_Ferida,6,67.0,1914_births,-0.9104477611940298,1668,1
968859,Randolph_McCoy,130,245.0,1914_deaths,-0.4693877551020408,403,1
473038,James_Paul_Donahue___Jr.,14,48.0,1915_births,-0.7083333333333333,1531,1
59677,Charles_Reed_Bishop,15,30.0,1915_deaths,-0.5,409,1
1246626,Toni_Jo_Henry,20,1579.0,1916_births,-0.987333755541482,1569,1
236471,Ellet_J._Waggoner,8,29.0,1916_deaths,-0.7241379310344828,487,1
92088,Cleveland_Amory,18,154.0,1917_births,-0.8831168831168831,1618,1
42431,Carolus-Duran,6,17.0,1917_deaths,-0.6470588235294117,438,1
463643,James_A._Jensen,6,42.0,1918_births,-0.8571428571428572,1579,1
945280,Plato_von_Ustinov,14,45.0,1918_deaths,-0.6888888888888889,596,1
1296451,Walter_Kaaden,6,23.0,1919_births,-0.7391304347826086,1630,1
293602,Frank_Winfield_Woolworth,95,623.0,1919_deaths,-0.8475120385232745,469,1
162271,Dean_Harens,11,83.0,1920_births,-0.8674698795180723,1971,1
538649,John_Charles_Olmsted,6,15.0,1920_deaths,-0.6,410,1
197120,Donogh_O'Malley,9,34.0,1921_births,-0.7352941176470589,1871,1
404426,Herman_Bavinck,6,20.0,1921_deaths,-0.7,410,1
454093,Jack_Kruschen,107,696.0,1922_births,-0.8462643678160919,1911,1
453979,Jack_Kennedy_(train_robber),10,25.0,1922_deaths,-0.6,438,1
1011709,Robert_Graf_(actor),37,226.0,1923_births,-0.8362831858407079,2016,1
952477,Princess_Marie_Elisabeth_of_Saxe-Meiningen,7,13.0,1923_deaths,-0.46153846153846156,409,1
738367,Marina_Berti,14,1000.0,1924_births,-0.986,1993,1
894249,Panagiotis_Danglis,6,20.0,1924_deaths,-0.7,452,1
456212,Jack_Wagner_(announcer),7,24.0,1925_births,-0.7083333333333333,1978,1
330981,George_T._Morgan,8,28.0,1925_deaths,-0.7142857142857143,433,1
931370,Peter_Reynolds_(actor),7,140.0,1926_births,-0.95,2139,1
1289566,Vladimir_Sukhomlinov,7,31.0,1926_deaths,-0.7741935483870968,378,1
880246,Olof_Palme,294,3444.0,1927_births,-0.9146341463414634,2096,1
285019,Francis_Edward_Clark,7,24.0,1927_deaths,-0.7083333333333333,447,1
